codigo,bairro,categoria_principal,categoria_secundaria,qtde,ano,mês
E01032740,Cidade de Londres,Drogas,Tráfico de Drogas,0,2011,1
E01032739,Cidade de Londres,Drogas,Tráfico de Drogas,0,2016,9
E01032740,Cidade de Londres,Drogas,Tráfico de Drogas,0,2010,5
E01032739,Cidade de Londres,Drogas,Tráfico de Drogas,0,2012,3
E01000001,Cidade de Londres,Drogas,Tráfico de Drogas,0,2015,1
E01032740,Cidade de Londres,Drogas,Tráfico de Drogas,0,2016,1
E01000001,Cidade de Londres,Drogas,Tráfico de Drogas,0,2016,3
E01032740,Cidade de Londres,Drogas,Tráfico de Drogas,0,2012,9
E01032740,Cidade de Londres,Drogas,Tráfico de Drogas,0,2014,5
E01032739,Cidade de Londres,Drogas,Tráfico de Drogas,0,2012,10
E01032740,Cidade de Londres,Drogas,Tráfico de Drogas,0,2015,2
E01032740,Cidade de Londres,Drogas,Tráfico de Drogas,0,2014,12
E01032739,Cidade de Londres,Drogas,Tráfico de Drogas,0,2016,1
E01032740,Cidade de Londres,Drogas,Tráfico de Drogas,0,2008,8
E01032739,Cidade de Londres,Drogas,Tráfico de Drogas,0,2016,12
E01032740,Cidade de Londres,Drogas,Tráfico de Drogas,0,2008,2
E01000001,Cidade de Londres,Drogas,Tráfico de Drogas,0,2010,11
E01032740,Cidade de Londres,Drogas,Tráfico de Drogas,0,2013,7
E01032739,Cidade de Londres,Violência contra a pessoa,Arma Ofensiva,0,2015,9
E01032739,Cidade de Londres,Violência contra a pessoa,Arma Ofensiva,0,2015,6
E01032739,Cidade de Londres,Violência contra a pessoa,Arma Ofensiva,0,2015,7
E01032740,Cidade de Londres,Violência contra a pessoa,Arma Ofensiva,0,2010,2
E01032739,Cidade de Londres,Violência contra a pessoa,Arma Ofensiva,0,2015,1
E01032739,Cidade de Londres,Violência contra a pessoa,Arma Ofensiva,0,2010,8
E01032740,Cidade de Londres,Violência contra a pessoa,Arma Ofensiva,0,2016,1
E01032740,Cidade de Londres,Violência contra a pessoa,Arma Ofensiva,0,2014,9
E01032739,Cidade de Londres,Violência contra a pessoa,Arma Ofensiva,0,2010,12
E01032739,Cidade de Londres,Violência contra a pessoa,Arma Ofensiva,0,2013,11
E01032740,Cidade de Londres,Violência contra a pessoa,Arma Ofensiva,0,2013,4
E01032740,Cidade de Londres,Violência contra a pessoa,Arma Ofensiva,0,2011,4
E01032740,Cidade de Londres,Violência contra a pessoa,Arma Ofensiva,0,2015,5
E01032739,Cidade de Londres,Violência contra a pessoa,Arma Ofensiva,0,2014,3
E01032740,Cidade de Londres,Violência contra a pessoa,Arma Ofensiva,0,2015,12
E01032739,Cidade de Londres,Violência contra a pessoa,Arma Ofensiva,0,2012,10
